+-----------------------------------------------------------------------------------------------------------------+
|                                               ava_lora_rouge_score                                              |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   6.64    | 18.55  |    9.50   |
|                                                                | rougeL | mid  |   7.88    | 22.23  |   11.22   |
|                                                                | rougeL | high |   9.25    | 26.53  |   13.09   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   16.46   | 18.57  |   16.93   |
|                                                                | rougeL | mid  |   18.12   | 20.35  |   18.37   |
|                                                                | rougeL | high |   20.06   | 22.30  |   19.95   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   4.22    | 66.67  |    7.52   |
|                                                                | rougeL | mid  |   5.56    | 73.98  |    9.46   |
|                                                                | rougeL | high |   7.41    | 81.30  |   12.14   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   3.73    | 100.00 |    7.17   |
|                                                                | rougeL | mid  |   3.95    | 100.00 |    7.56   |
|                                                                | rougeL | high |   4.22    | 100.00 |    8.04   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   3.32    | 89.43  |    6.38   |
|                                                                | rougeL | mid  |   3.56    | 94.31  |    6.84   |
|                                                                | rougeL | high |   3.82    | 97.56  |    7.32   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.41    |  5.68  |    0.77   |
|                                                                | rougeL | mid  |   0.65    |  8.94  |    1.22   |
|                                                                | rougeL | high |   0.96    | 12.61  |    1.77   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   2.55    | 22.07  |    4.51   |
|                                                                | rougeL | mid  |   3.16    | 26.42  |    5.46   |
|                                                                | rougeL | high |   3.99    | 31.02  |    6.57   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   3.52    | 75.20  |    6.67   |
|                                                                | rougeL | mid  |   3.94    | 81.71  |    7.46   |
|                                                                | rougeL | high |   4.34    | 87.40  |    8.18   |
