+-----------------------------------------------------------------------------------------------------------------+
|                                                     ava_raw                                                     |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   10.56   | 20.61  |   12.51   |
|                                                                | rougeL | mid  |   12.47   | 24.52  |   14.80   |
|                                                                | rougeL | high |   14.37   | 28.82  |   17.06   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   19.99   | 16.93  |   16.75   |
|                                                                | rougeL | mid  |   22.19   | 19.02  |   18.39   |
|                                                                | rougeL | high |   24.68   | 21.21  |   20.23   |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   20.08   | 44.17  |   20.90   |
|                                                                | rougeL | mid  |   27.59   | 52.71  |   28.43   |
|                                                                | rougeL | high |   35.28   | 61.46  |   36.26   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   0.81    | 35.83  |    1.59   |
|                                                                | rougeL | mid  |   1.03    | 45.00  |    2.01   |
|                                                                | rougeL | high |   1.25    | 53.33  |    2.43   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   3.36    | 48.33  |    5.62   |
|                                                                | rougeL | mid  |   5.89    | 57.50  |    8.51   |
|                                                                | rougeL | high |   8.97    | 66.67  |   11.78   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   0.28    |  5.00  |    0.53   |
|                                                                | rougeL | mid  |   0.47    |  8.33  |    0.89   |
|                                                                | rougeL | high |   0.68    | 12.08  |    1.29   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   2.27    | 22.00  |    4.08   |
|                                                                | rougeL | mid  |   2.81    | 26.58  |    5.05   |
|                                                                | rougeL | high |   3.38    | 31.04  |    6.06   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   4.80    | 32.92  |    6.64   |
|                                                                | rougeL | mid  |   7.84    | 39.58  |    9.76   |
|                                                                | rougeL | high |   11.55   | 46.68  |   13.46   |
