+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-20temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   4.74    | 13.67  |    6.50   |
|                                                                | rougeL | mid  |   8.10    | 24.33  |   11.17   |
|                                                                | rougeL | high |   12.20   | 37.27  |   16.50   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   16.90   | 15.18  |   15.36   |
|                                                                | rougeL | mid  |   22.91   | 19.81  |   19.28   |
|                                                                | rougeL | high |   29.74   | 24.57  |   23.27   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   25.00   | 75.00  |   34.57   |
|                                                                | rougeL | mid  |   36.67   | 90.00  |   47.29   |
|                                                                | rougeL | high |   49.19   | 100.00 |   60.00   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   28.33   | 85.00  |   42.50   |
|                                                                | rougeL | mid  |   32.50   | 95.00  |   48.33   |
|                                                                | rougeL | high |   35.83   | 100.00 |   52.50   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   25.00   | 25.00  |   25.00   |
|                                                                | rougeL | mid  |   45.00   | 45.00  |   45.00   |
|                                                                | rougeL | high |   65.00   | 65.00  |   65.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   4.50    |  5.00  |    3.93   |
|                                                                | rougeL | mid  |   17.50   | 12.50  |   13.33   |
|                                                                | rougeL | high |   36.00   | 22.50  |   25.83   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   1.30    |  2.50  |    1.58   |
|                                                                | rougeL | mid  |   3.99    |  8.50  |    4.70   |
|                                                                | rougeL | high |   7.33    | 16.00  |    8.33   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   40.00   | 40.00  |   40.00   |
|                                                                | rougeL | mid  |   60.00   | 60.00  |   60.00   |
|                                                                | rougeL | high |   80.00   | 80.00  |   80.00   |
