+-----------------------------------------------------------------------------------------------------------------+
|                                   fine-tuned-ava-with-co-cola-v2-on25temps-v2                                   |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   2.10    |  6.83  |    3.25   |
|                                                                | rougeL | mid  |   6.47    | 22.80  |    9.50   |
|                                                                | rougeL | high |   12.46   | 42.02  |   18.21   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   7.34    |  6.70  |    6.71   |
|                                                                | rougeL | mid  |   13.51   | 14.46  |   12.77   |
|                                                                | rougeL | high |   20.25   | 23.08  |   19.16   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   23.33   | 30.00  |   25.00   |
|                                                                | rougeL | high |   50.00   | 60.00  |   50.00   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   2.59    | 100.00 |    5.04   |
|                                                                | rougeL | mid  |   2.99    | 100.00 |    5.79   |
|                                                                | rougeL | high |   3.62    | 100.00 |    6.97   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   3.90    | 15.00  |    5.08   |
|                                                                | rougeL | high |   11.13   | 30.00  |   14.08   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.40    |  2.00  |    0.66   |
|                                                                | rougeL | mid  |   1.69    |  8.50  |    2.80   |
|                                                                | rougeL | high |   3.16    | 15.50  |    5.27   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   1.10    | 20.00  |    2.09   |
|                                                                | rougeL | mid  |   13.28   | 45.00  |   15.64   |
