+-----------------------------------------------------------------------------------------------------------------+
|                                     fine-tuned-ava-with-co-cola-v2-on25temps                                    |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   4.29    |  8.95  |    5.03   |
|                                                                | rougeL | mid  |   5.58    | 11.89  |    6.55   |
|                                                                | rougeL | high |   6.96    | 15.25  |    8.19   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   15.07   | 16.04  |   14.51   |
|                                                                | rougeL | mid  |   17.02   | 18.05  |   16.13   |
|                                                                | rougeL | high |   18.99   | 20.04  |   17.86   |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   19.54   | 30.40  |   21.62   |
|                                                                | rougeL | mid  |   26.30   | 38.40  |   28.41   |
|                                                                | rougeL | high |   33.87   | 47.20  |   36.05   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   2.88    | 97.60  |    5.60   |
|                                                                | rougeL | mid  |   3.06    | 99.20  |    5.92   |
|                                                                | rougeL | high |   3.26    | 100.00 |    6.29   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.03    |  0.80  |    0.05   |
|                                                                | rougeL | high |   0.08    |  2.40  |    0.15   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   1.66    |  7.60  |    2.38   |
|                                                                | rougeL | mid  |   2.93    | 11.20  |    3.97   |
|                                                                | rougeL | high |   4.45    | 14.80  |    5.80   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   1.39    |  8.52  |    2.37   |
|                                                                | rougeL | mid  |   1.78    | 10.80  |    3.03   |
|                                                                | rougeL | high |   2.13    | 12.88  |    3.61   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   10.73   | 40.80  |   12.86   |
|                                                                | rougeL | mid  |   15.73   | 47.60  |   17.93   |
