+-----------------------------------------------------------------------------------------------------------------+
|                                  fine-tuned-ava-with-continual-cola-on-17temps                                  |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   10.99   | 27.26  |   15.01   |
|                                                                | rougeL | mid  |   12.52   | 31.50  |   17.02   |
|                                                                | rougeL | high |   14.11   | 35.81  |   19.16   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   22.51   | 17.99  |   18.36   |
|                                                                | rougeL | mid  |   25.61   | 19.99  |   20.08   |
|                                                                | rougeL | high |   29.07   | 21.87  |   21.94   |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   24.47   | 26.67  |   24.78   |
|                                                                | rougeL | mid  |   32.22   | 35.00  |   32.67   |
|                                                                | rougeL | high |   40.17   | 43.33  |   40.77   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   29.94   | 91.67  |   44.51   |
|                                                                | rougeL | mid  |   32.21   | 95.83  |   47.27   |
|                                                                | rougeL | high |   34.60   | 99.17  |   49.80   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   29.17   | 83.33  |   42.92   |
|                                                                | rougeL | mid  |   31.67   | 89.17  |   46.25   |
|                                                                | rougeL | high |   34.45   | 95.00  |   49.31   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   7.03    | 15.83  |    7.19   |
|                                                                | rougeL | mid  |   11.46   | 20.42  |   10.66   |
|                                                                | rougeL | high |   16.25   | 25.00  |   14.14   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   2.76    | 11.37  |    4.01   |
|                                                                | rougeL | mid  |   3.62    | 14.35  |    5.08   |
|                                                                | rougeL | high |   4.64    | 17.46  |    6.21   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   44.02   | 51.67  |   45.21   |
|                                                                | rougeL | mid  |   52.16   | 60.00  |   53.30   |
