+-----------------------------------------------------------------------------------------------------------------+
|                                               raw_ava_rouge_score                                               |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   10.81   | 20.28  |   12.72   |
|                                                                | rougeL | mid  |   12.64   | 24.42  |   14.89   |
|                                                                | rougeL | high |   14.55   | 28.72  |   17.02   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   19.67   | 16.80  |   16.57   |
|                                                                | rougeL | mid  |   21.84   | 18.96  |   18.19   |
|                                                                | rougeL | high |   24.00   | 21.04  |   19.87   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   21.27   | 44.11  |   22.13   |
|                                                                | rougeL | mid  |   28.65   | 53.46  |   29.57   |
|                                                                | rougeL | high |   36.62   | 61.59  |   37.38   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   0.81    | 35.77  |    1.58   |
|                                                                | rougeL | mid  |   1.00    | 43.90  |    1.96   |
|                                                                | rougeL | high |   1.21    | 52.05  |    2.36   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   3.23    | 47.97  |    5.44   |
|                                                                | rougeL | mid  |   5.67    | 56.91  |    8.22   |
|                                                                | rougeL | high |   9.09    | 65.85  |   11.99   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.27    |  4.88  |    0.50   |
|                                                                | rougeL | mid  |   0.46    |  8.13  |    0.87   |
|                                                                | rougeL | high |   0.68    | 11.79  |    1.29   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   2.30    | 22.36  |    4.15   |
|                                                                | rougeL | mid  |   2.83    | 26.99  |    5.09   |
|                                                                | rougeL | high |   3.35    | 31.42  |    5.99   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   5.32    | 31.71  |    7.09   |
|                                                                | rougeL | mid  |   8.23    | 39.02  |   10.02   |
|                                                                | rougeL | high |   11.93   | 45.13  |   13.71   |
